assembly_fullID_updated,Y1000+_ID,NEW_Tip_ID,Order,Species,Strain_Sequenced,NRRL,CBS,Other,CTH,Total_length,Number_contigs,GC,N50,Ns_per_100_kbp,#_BUSCOs,Complete,Single,Duplicated,Fragmented,Missing,Type strain,Type Species,Y1000+ Project,Genome_Acc,Reads_Acc,Citation Number Reference,Reference,Citation number for Related Pub,Related_Prior_Pub
yHMPu5000035269_wickerhamomyces_ciferrii_170307,yHMPu5000035269,Wickerhamomyces_ciferrii,Phaffomycetales,Wickerhamomyces ciferrii,NRRL Y-1031,NRRL Y-1031,CBS 111,NA,NA,30807197,724,30.42,99345,201.5,2060,96.40%,18.81%,77.59%,2.34%,1.26%,Yes,No,Yes,JAJMFJ000000000,SRR16974555,149,"Haase MAB, et al. Repeated horizontal gene transfer of GALactose metabolism genes violates Dollo's law of irreversible loss. Genetics. 2021 Feb 9;217(2):iyaa012. doi: 10.1093/genetics/iyaa012. PMID: 33724406; PMCID: PMC8045682.", ,
saprochaete_ingens,saprochaete_ingens,Saprochaete_ingens,Dipodascales,Saprochaete ingens,CBS 517.90,NA,CBS 517.90,NA,NA,21189208,6,36.85,4992828,0,1896,88.72%,88.11%,0.61%,5.19%,6.08%,Yes,Yes,No,GCF_902498895.1,N/A,152,"Hodorová V, et al. Genome Sequence of the Yeast Saprochaete ingens CBS 517.90. Microbiol Resour Announc. 2019 Dec 12;8(50):e01366-19. doi: 10.1128/MRA.01366-19. PMID: 31831616; PMCID: PMC6908801.", ,
candida_dubliniensis,candida_dubliniensis,Candida_dubliniensis_CD36,Serinales,Candida dubliniensis,CD36,NA,NA,CD36,NA,14618422,8,33.25,2267510,0,2114,98.92%,98.22%,0.70%,0.61%,0.47%,Not Type,No,No,GCF_000026945.1,N/A,153,"Jackson AP, et al. Comparative genomics of the fungal pathogens Candida dubliniensis and Candida albicans. Genome Res. 19, 2231–2244 (2009).", ,
scheffersomyces_stipitis,scheffersomyces_stipitis,Scheffersomyces_stipitis_NRRL_Y-11545,Serinales,Scheffersomyces stipitis,NRRL Y-11545,NRRL Y-11545,CBS 6054,NA,NA,15441079,9,41.14,1803401,0.47,2129,99.63%,99.63%,0.00%,0.14%,0.23%,Not Type,Yes,No,JGI,N/A,154,"Jeffries TW, et al. Genome sequence of the lignocellulose-bioconverting and xylose-fermenting yeast Pichia stipitis. Nat. Biotechnol. 25, 319–326 (2007).", ,
candida_albicans,candida_albicans,Candida_albicans_SC5314,Serinales,Candida albicans,SC5314,NA,NA,NA,NA,14323546,9,33.45,2231927,74.37,2108,98.64%,98.03%,0.61%,0.80%,0.56%,Not Type,No,No,Genolevures,N/A,155,"Jones T, et al. The diploid genome sequence of Candida albicans. Proc Natl Acad Sci USA 2004,101:7329-7334.", ,
yHMPu5000035657_starmerella_bombicola_160613,yHMPu5000035657,Starmerella_bombicola,Dipodascales,Starmerella bombicola,NRRL Y-17069,NRRL Y-17069,CBS 6009,NA,NA,9531730,58,48.2,498188,0,1709,79.97%,79.78%,0.19%,5.47%,14.55%,Yes,Yes,Yes,GCA_004124885.1, SRR5938411,96,"Kominek J, et al. Eukaryotic Acquisition of a Bacterial Operon. Cell. 2019 Mar 7;176(6):1356-1366.e10. doi: 10.1016/j.cell.2019.01.034. Epub 2019 Feb 21. PMID: 30799038; PMCID: PMC7295392.", ,
yHMPu5000038394_candida_davenportii_170713,yHMPu5000038394,Starmerella_davenportii,Dipodascales,Starmerella davenportii,CBS 9069,NA,CBS 9069,NA,NA,8986487,188,57.36,300823,3.68,1523,71.27%,70.89%,0.37%,6.83%,21.90%,Yes,No,Yes,GCA_004124985.1,SRR5938414,96,"Kominek J, et al. Eukaryotic Acquisition of a Bacterial Operon. Cell. 2019 Mar 7;176(6):1356-1366.e10. doi: 10.1016/j.cell.2019.01.034. Epub 2019 Feb 21. PMID: 30799038; PMCID: PMC7295392.", ,
yHMPu5000038363_candida_ratchasimensis_170713,yHMPu5000038363,Starmerella_ratchasimensis,Dipodascales,Starmerella ratchasimensis,CBS 10611,NA,CBS 10611,NA,NA,11142206,343,53.74,252705,0,1586,74.22%,73.84%,0.37%,7.25%,18.53%,Yes,No,Yes,GCA_004124975.1,SRR5938415,96,"Kominek J, et al. Eukaryotic Acquisition of a Bacterial Operon. Cell. 2019 Mar 7;176(6):1356-1366.e10. doi: 10.1016/j.cell.2019.01.034. Epub 2019 Feb 21. PMID: 30799038; PMCID: PMC7295392.", ,
yHMPu5000035291_candida_riodocensis_170307,yHMPu5000035291,Starmerella_riodocensis,Dipodascales,Starmerella riodocensis,NRRL Y-27859,NRRL Y-27859,CBS 10087,NA,NA,9970069,505,58.35,71695,1.4,1567,73.33%,73.14%,0.19%,7.58%,19.09%,Yes,No,Yes,GCA_004124955.1,SRR5938413,96,"Kominek J, et al. Eukaryotic Acquisition of a Bacterial Operon. Cell. 2019 Mar 7;176(6):1356-1366.e10. doi: 10.1016/j.cell.2019.01.034. Epub 2019 Feb 21. PMID: 30799038; PMCID: PMC7295392.", ,
yHMPu5000038358_candida_tilneyi_170713,yHMPu5000038358,Starmerella_tilneyi,Dipodascales,Starmerella tilneyi,CBS 8794,NA,CBS 8794,NA,NA,9355722,194,53.25,392169,8.54,1723,80.63%,80.07%,0.56%,5.80%,13.57%,Yes,No,Yes,GCA_004125055.1,SRR5938408,96,"Kominek J, et al. Eukaryotic Acquisition of a Bacterial Operon. Cell. 2019 Mar 7;176(6):1356-1366.e10. doi: 10.1016/j.cell.2019.01.034. Epub 2019 Feb 21. PMID: 30799038; PMCID: PMC7295392.", ,
yHMPu5000035290_candida_vaccinii_170307,yHMPu5000035290,Starmerella_vaccinii,Dipodascales,Starmerella vaccinii,NRRL Y-17684,NRRL Y-17684,CBS 7318,NA,NA,10245234,141,53.72,230043,20.59,1737,81.28%,80.91%,0.37%,5.62%,13.10%,Yes,No,Yes,GCA_004125185.1,SRR5938417,96,"Kominek J, et al. Eukaryotic Acquisition of a Bacterial Operon. Cell. 2019 Mar 7;176(6):1356-1366.e10. doi: 10.1016/j.cell.2019.01.034. Epub 2019 Feb 21. PMID: 30799038; PMCID: PMC7295392.", ,
yHMPu5000035289_candida_infanticola_170713,yHMPu5000035289,Wickerhamiella_infanticola_NRRL_Y-17858,Dipodascales,Wickerhamiella infanticola,NRRL Y-17858,NRRL Y-17858,CBS 11938,AF017239,NA,8276031,582,48.91,616359,0,1929,90.27%,89.99%,0.28%,3.28%,6.46%,Yes,No,Yes,GCA_004125145.1,SRR5938406,96,"Kominek J, et al. Eukaryotic Acquisition of a Bacterial Operon. Cell. 2019 Mar 7;176(6):1356-1366.e10. doi: 10.1016/j.cell.2019.01.034. Epub 2019 Feb 21. PMID: 30799038; PMCID: PMC7295392.", ,
yHMPu5000035284_wickerhamiella_occidentalis_170713,yHMPu5000035284,Wickerhamiella_occidentalis,Dipodascales,Wickerhamiella occidentalis,NRRL Y-27364,NRRL Y-27364,CBS 8452,NA,NA,9878874,165,48.07,163330,1.31,1780,83.29%,82.78%,0.51%,5.47%,11.23%,Yes,No,Yes,GCA_004125095.1,SRR5938402,96,"Kominek J, et al. Eukaryotic Acquisition of a Bacterial Operon. Cell. 2019 Mar 7;176(6):1356-1366.e10. doi: 10.1016/j.cell.2019.01.034. Epub 2019 Feb 21. PMID: 30799038; PMCID: PMC7295392.", ,
yHMPu5000038361_candida_versatilis_170713,yHMPu5000038361,Wickerhamiella_versatilis_NRRL_Y-6652,Dipodascales,Wickerhamiella versatilis,NRRL Y-6652,NRRL Y-6652,CBS 1752,DQ438242,NA,10040715,228,44.96,1128982,10.82,1767,82.69%,81.75%,0.94%,6.04%,11.28%,Yes,No,Yes,GCA_004125065.1,SRR5938403,96,"Kominek J, et al. Eukaryotic Acquisition of a Bacterial Operon. Cell. 2019 Mar 7;176(6):1356-1366.e10. doi: 10.1016/j.cell.2019.01.034. Epub 2019 Feb 21. PMID: 30799038; PMCID: PMC7295392.", ,
yHMPu5000034947_ambrosiozyma_philentoma_160519,yHMPu5000034947,Ambrosiozyma_philentoma,Pichiales,Ambrosiozyma philentoma,NRRL Y-7523,NRRL Y-7523,CBS 6276,NA,NA,17564895,171,35.05,547646,5.31,2099,98.22%,97.33%,0.89%,0.70%,1.08%,Yes,No,Yes,PPKZ00000000,SRR16974433,119,"Krassowski T, et al. 2018. Evolutionary instability of CUG-Leu in the genetic code of budding yeasts. Nat Commun 9: 1887. Shen XX, et al. Tempo and Mode of Genome Evolution in the Budding Yeast Subphylum. Cell. 2018 Nov 29;175(6):1533-1545.e20. doi: 10.1016/j.cell.2018.10.023. Epub 2018 Nov 8. PMID: 30415838; PMCID: PMC6291210.", ,
yHMPu5000034883_peterozyma_xylosa_160519,yHMPu5000034883,Peterozyma_xylosa,Alaninales,Peterozyma xylosa,NRRL Y-12939,NRRL Y-12939,CBS 2286,NA,NA,12922644,118,38.11,621758,7.74,2103,98.41%,98.03%,0.37%,0.80%,0.80%,Yes,No,Yes,PPKF00000000,SRR16974687,119,"Krassowski T, et al. 2018. Evolutionary instability of CUG-Leu in the genetic code of budding yeasts. Nat Commun 9: 1887. Shen XX, et al. Tempo and Mode of Genome Evolution in the Budding Yeast Subphylum. Cell. 2018 Nov 29;175(6):1533-1545.e20. doi: 10.1016/j.cell.2018.10.023. Epub 2018 Nov 8. PMID: 30415838; PMCID: PMC6291210.", ,
yHMPu5000035659_saturnispora_dispora_160519,yHMPu5000035659,Saturnispora_dispora,Pichiales,Saturnispora dispora,NRRL Y-1447,NRRL Y-1447,CBS 794,NA,NA,9994215,288,36.71,217078,2.99,2008,93.96%,93.73%,0.23%,1.87%,4.16%,Yes,Yes,Yes,PPND00000000,SRR16988942,119,"Krassowski T, et al. 2018. Evolutionary instability of CUG-Leu in the genetic code of budding yeasts. Nat Commun 9: 1887. Shen XX, et al. Tempo and Mode of Genome Evolution in the Budding Yeast Subphylum. Cell. 2018 Nov 29;175(6):1533-1545.e20. doi: 10.1016/j.cell.2018.10.023. Epub 2018 Nov 8. PMID: 30415838; PMCID: PMC6291210.", ,
yHMPu5000034939_komagataella_pseudopastoris_160519,yHMPu5000034939,Komagataella_pseudopastoris,Pichiales,Komagataella pseudopastoris,NRRL Y-27603,NRRL Y-27603,CBS 9187,NA,NA,9106946,46,41.7,555879,1.31,2112,98.83%,98.64%,0.19%,0.61%,0.56%,Yes,No,Yes,PPKX00000000,SRR16974437,159,"Krause DJ, et al. 2018. Functional and evolutionary characterization of a secondary metabolite gene cluster in budding yeasts. Proc Natl Acad Sci USA 115: 11030-5. Shen XX, et al. Tempo and Mode of Genome Evolution in the Budding Yeast Subphylum. Cell. 2018 Nov 29;175(6):1533-1545.e20. doi: 10.1016/j.cell.2018.10.023. Epub 2018 Nov 8. PMID: 30415838; PMCID: PMC6291210.", ,
yHMPu5000034862_zygotorulaspora_florentina_160519,yHMPu5000034862,Zygotorulaspora_florentina,Saccharomycetales,Zygotorulaspora florentina,NRRL Y-1560,NRRL Y-1560,CBS 746,NA,NA,11000528,197,41.01,562868,18.09,2126,99.49%,99.39%,0.09%,0.09%,0.42%,Yes,No,Yes,PPJY00000000,SRR16974708,159,"Krause DJ, et al. 2018. Functional and evolutionary characterization of a secondary metabolite gene cluster in budding yeasts. Proc Natl Acad Sci USA 115: 11030-5. Shen XX, et al. Tempo and Mode of Genome Evolution in the Budding Yeast Subphylum. Cell. 2018 Nov 29;175(6):1533-1545.e20. doi: 10.1016/j.cell.2018.10.023. Epub 2018 Nov 8. PMID: 30415838; PMCID: PMC6291210.", ,
arxula_adeninivorans,arxula_adeninivorans,Blastobotrys_adeninivorans_LS3,Dipodascales,Blastobotrys adeninivorans,LS3,NA,NA,LS3,NA,11804616,4,48.12,3827910,14.81,2022,94.62%,94.20%,0.42%,2.11%,3.28%,Not Type,No,No,CBZY000000000,N/A,199,"Kunze G, et al. The complete genome of Blastobotrys (Arxula) adeninivorans LS3 - a yeast of biotechnological interest. Biotechnol Biofuels 7, 66 (2014).", ,
metschnikowia_arizonensis,metschnikowia_arizonensis,Metschnikowia_arizonensis,Serinales,Metschnikowia arizonensis,UWOPS 99-103.4,NA,CBS 9065,UWOPS 99-103.4,NA,16152850,608,41.73,83138,60.4,2113,98.88%,98.88%,0.00%,0.47%,0.66%,isotype,No,No,GCA_002370875.1,N/A,160,"Lachance MA, et al. A stable phylogeny of the large-spored Metschnikowia clade. Yeast. 2016 Jul;33(7):261-75. doi: 10.1002/yea.3163. Epub 2016 May 10.", ,
metschnikowia_drakensbergensis,metschnikowia_drakensbergensis,Metschnikowia_drakensbergensis,Serinales,Metschnikowia drakensbergensis,EBD-CdVSA10-2A,NA,CBS 13650,EBD-CdVSA10-2A,NA,11827406,211,48.29,439824,8.71,2115,98.97%,98.83%,0.14%,0.61%,0.42%,Allotype,No,No,GCA_002370475.1,N/A,160,"Lachance MA, et al. A stable phylogeny of the large-spored Metschnikowia clade. Yeast. 2016 Jul;33(7):261-75. doi: 10.1002/yea.3163. Epub 2016 May 10.", ,
metschnikowia_hawaiiensis,metschnikowia_hawaiiensis,Metschnikowia_hawaiiensis_UWOPS_87-2203.2,Serinales,Metschnikowia hawaiiensis,UWOPS 87-2203.2,NRRL Y-17273,CBS 7433,UWOPS 87-2203.2,NA,18326092,807,44.54,100011,29.92,2099,98.22%,98.13%,0.09%,0.98%,0.80%,Isotype,No,No,GCA_002370325.1,N/A,160,"Lachance MA, et al. A stable phylogeny of the large-spored Metschnikowia clade. Yeast. 2016 Jul;33(7):261-75. doi: 10.1002/yea.3163. Epub 2016 May 10.", ,
metschnikowia_kamakouana,metschnikowia_kamakouana,Metschnikowia_kamakouana,Serinales,Metschnikowia kamakouana,UWOPS 04-112.5,NRRL Y-27836,CBS 10058,UWOPS 04-112.5,NA,15602729,232,44.89,431929,12.27,2111,98.78%,98.78%,0.00%,0.70%,0.51%,Yes,No,No,GCA_002374535.1,N/A,160,"Lachance MA, et al. A stable phylogeny of the large-spored Metschnikowia clade. Yeast. 2016 Jul;33(7):261-75. doi: 10.1002/yea.3163. Epub 2016 May 10.", ,
metschnikowia_mauinuiana,metschnikowia_mauinuiana,Metschnikowia_mauinuiana,Serinales,Metschnikowia mauinuiana,UWOPS 04-190.1,NRRL Y-27838,CBS 10060,UWOPS 04-190.1,NA,17199242,263,43.95,210934,25.08,2110,98.74%,98.55%,0.19%,0.51%,0.75%,Yes,No,No,GCA_002374555.1,N/A,160,"Lachance MA, et al. A stable phylogeny of the large-spored Metschnikowia clade. Yeast. 2016 Jul;33(7):261-75. doi: 10.1002/yea.3163. Epub 2016 May 10.", ,
metschnikowia_santaceciliae,metschnikowia_santaceciliae,Metschnikowia_santaceciliae,Serinales,Metschnikowia santaceciliae,UWOPS 01-517a1,NA,CBS 9148,UWOPS 01-517a1,NA,20347274,685,43.37,75181,42.67,2113,98.88%,98.74%,0.14%,0.61%,0.51%,Yes,No,No,GCA_002374485.1,N/A,160,"Lachance MA, et al. A stable phylogeny of the large-spored Metschnikowia clade. Yeast. 2016 Jul;33(7):261-75. doi: 10.1002/yea.3163. Epub 2016 May 10.", ,
metschnikowia_similis,metschnikowia_similis,Metschnikowia_similis_UWOPS_03-133.4,Serinales,Metschnikowia similis,UWOPS 03-133.4,NRRL Y-27628,CBS 9738,UWOPS 03-133.4,NA,17229129,660,48.76,110123,18.89,2104,98.46%,98.27%,0.19%,0.61%,0.94%,Allotype,No,No,GCA_002370765.1,N/A,160,"Lachance MA, et al. A stable phylogeny of the large-spored Metschnikowia clade. Yeast. 2016 Jul;33(7):261-75. doi: 10.1002/yea.3163. Epub 2016 May 10.", ,
candida_infanticola,candida_infanticola,Wickerhamiella_infanticola_DS02,Dipodascales,Wickerhamiella infanticola,DS02,NA,NA,DS02,NA,8152740,22,48.32,2571092,0,1923,89.99%,89.56%,0.42%,3.14%,6.88%,Not Type,No,No,LWLF010000XX,N/A,,"Lee H, et al. Genbank Accession IDs: LWLF01000001-LWLF01000022 (2016).", ,
saprochaete_suaveolens,saprochaete_suaveolens,Saprochaete_suaveolens,Dipodascales,Saprochaete suaveolens,NRRL Y-17571,NRRL Y-17571,NA,NA,NA,24414705,12,39.47,2832392,0,1901,88.96%,66.31%,22.65%,4.87%,6.18%,Yes,No,No,GCA_900642975.1,N/A,161,"Lichancová H, et al. Genome Sequence of Flavor-Producing Yeast Saprochaete suaveolens NRRL Y-17571. Microbiol Resour Announc. 2019 Feb 28;8(9):e00094-19. doi: 10.1128/MRA.00094-19. PMID: 30834381; PMCID: PMC6395866.", ,
saccharomyces_arboricola,saccharomyces_arboricola,Saccharomyces_arboricola,Saccharomycetales,Saccharomyces arboricola,CBS 10644,NA,CBS 10644,NA,NA,11619520,35,38.68,879294,1930.59,2119,99.16%,97.10%,2.06%,0.47%,0.37%,Yes,No,No,GCF_000292725.1,N/A,162,"Liti G, et al. High quality de novo sequencing and assembly of the Saccharomyces arboricolus genome. BMC Genomics 14, 69 (2013).", ,
saccharomyces_paradoxus,saccharomyces_paradoxus,Saccharomyces_paradoxus,Saccharomycetales,Saccharomyces paradoxus,CBS 432,NRRL Y-17217,CBS 432,NA,NA,11744610,16,38.65,872514,1508.59,2088,97.71%,95.55%,2.15%,0.09%,2.20%,Yes,No,No,SSS,N/A,163,"Liti G, et al. Population genomics of domestic and wild yeasts. Nature. 2009 Mar 19;458(7236):337–41.", ,
spathaspora_arborariae,spathaspora_arborariae,Spathaspora_arborariae,Serinales,Spathaspora arborariae,UFMG-HM19.1AT,NRRL Y-48658,CBS 11463,UFMG-HM19.1AT,NA,12870582,41,31.73,679206,1263.06,2122,99.30%,99.11%,0.19%,0.37%,0.33%,Yes,No,No,GCA_000497715.1,N/A,164,"Lobo FP, et al. Draft Genome Sequence of the D-Xylose-Fermenting Yeast Spathaspora arborariae UFMG-HM19.1AT. Genome Announc. 2014;2(1). ", ,
spathaspora_xylofermentans,spathaspora_xylofermentans,Spathaspora_xylofermentans,Serinales,Spathaspora xylofermentans,UFMG-HMD23.3,NA,CBS 12682,UFMG-HMD23.3,NA,15098268,296,35.34,141551,1.95,2113,98.88%,98.64%,0.23%,0.56%,0.56%,Yes,No,No,GCA_002105455.1,N/A,166,"Lopes DD, et al. Draft Genome Sequence of the d-Xylose-Fermenting Yeast Spathaspora xylofermentans UFMG-HMD23.3. Genome Announc. 2017 Aug 17;5(33):e00815-17. doi: 10.1128/genomeA.00815-17. PMID: 28818907; PMCID: PMC5604780.", ,
spathaspora_girioi,spathaspora_girioi,Spathaspora_girioi,Serinales,Spathaspora girioi,UFMG-CM-Y302,NA,CBS 13476,UFMG-CM-Y302,NA,14405387,1096,35.05,76648,99.82,2115,98.97%,98.46%,0.51%,0.51%,0.51%,Yes,No,Yes,GCA_001657455.1,N/A,167,"Lopes MR, et al. Genomic analysis and D-xylose fermentation of three novel Spathaspora species: Spathaspora girioi sp. Nov., Spathaspora hagerdaliae f. a., sp. nov., and Spathaspora gorwiae f. a., sp. Nov. FEMS Yeast Res. 2016 Jun;16(4)", ,
spathaspora_gorwiae,spathaspora_gorwiae,Spathaspora_gorwiae,Serinales,Spathaspora gorwiae,UFMG-CM-Y312,NA,CBS 13472,UFMG-CM-Y312,NA,14788324,2267,35.33,13488,484.65,1998,93.50%,92.33%,1.17%,3.79%,2.71%,Yes,No,Yes,GCA_001655765.1,N/A,167,"Lopes MR, et al. Genomic analysis and D-xylose fermentation of three novel Spathaspora species: Spathaspora girioi sp. Nov., Spathaspora hagerdaliae f. a., sp. nov., and Spathaspora gorwiae f. a., sp. Nov. FEMS Yeast Res. 2016 Jun;16(4)", ,
spathaspora_hagerdaliae,spathaspora_hagerdaliae,Spathaspora_hagerdaliae,Serinales,Spathaspora hagerdaliae,UFMG-CM-Y303,NA,CBS 13475,UFMG-CM-Y303,NA,16495406,1557,35.12,35635,297.66,2090,97.80%,96.68%,1.12%,1.26%,0.94%,Yes,No,Yes,GCA_001655755.1,N/A,167,"Lopes MR, et al. Genomic analysis and D-xylose fermentation of three novel Spathaspora species: Spathaspora girioi sp. Nov., Spathaspora hagerdaliae f. a., sp. nov., and Spathaspora gorwiae f. a., sp. Nov. FEMS Yeast Res. 2016 Jun;16(4)", ,
scheffersomyces_stambukii,scheffersomyces_stambukii,Scheffersomyces_stambukii,Serinales,Scheffersomyces stambukii,UFMG-CM-Y427,NA,CBS 14217,UFMG-CM-Y427,NA,13240147,283,44.74,116292,0,2124,99.39%,99.30%,0.09%,0.33%,0.28%,Yes,No,No,GCA_002245345.1,N/A,168,"Lopes MR, et al. Scheffersomyces stambukii f.a., sp. nov., a d-xylose-fermenting species isolated from rotting wood. Int J Syst Evol Microbiol. 2018 Jul;68(7):2306-2312. doi: 10.1099/ijsem.0.002834. Epub 2018 May 22. PMID: 29786499.", ,
komagataella_pastoris,komagataella_pastoris,Komagataella_pastoris_ATCC_28485,Pichiales,Komagataella pastoris,ATCC 28485,NA,NA,NA,NA,9597535,11,41.47,2687137,0,2116,99.02%,98.88%,0.14%,0.42%,0.56%,Not Type,Yes,No,GCA_001708105.1,N/A,169,"Love KR, et al. Comparative genomics and transcriptomics of Pichia pastoris. BMC Genomics 2016 Aug 5;17:550.", ,
komagataella_phaffi,komagataella_phaffi,Komagataella_phaffii_GS115,Pichiales,Komagataella phaffii,GS115,NA,NA,GS115,NA,9216378,4,41.13,2394163,10.65,2095,98.03%,97.85%,0.19%,1.03%,0.94%,Not Type,No,No,GCA_001746955.1,N/A,169,"Love KR, et al. Comparative genomics and transcriptomics of Pichia pastoris. BMC Genomics 2016 Aug 5;17:550.", ,
spathaspora_boniae,spathaspora_boniae,Spathaspora_boniae,Serinales,Spathaspora boniae,UFMG-CM-Y306,NA,CBS 13262,UFMG-CM-Y306,NA,12297616,380,53.88,104097,0,2126,99.49%,99.30%,0.19%,0.28%,0.23%,Yes,No,Yes,GCA_002094185.1,N/A,173,"Morais CG, et al. Spathaspora boniae sp. nov., a D-xylose-fermenting species in the Candida albicans/Lodderomyces clade. Int J Syst Evol Microbiol. 2017 Oct;67(10):3798-3805. doi: 10.1099/ijsem.0.002186. Epub 2017 Sep 8. PMID: 28884677.", ,
geotrichum_candidum,geotrichum_candidum,Geotrichum_candidum_CLIB_918,Dipodascales,Geotrichum candidum,CLIB 918,NA,NA,CLIB 918,NA,24836057,28,41.8,1159651,7825.93,2008,93.96%,84.60%,9.36%,2.95%,3.09%,Not Type,No,No,GCA_001402995.1,N/A,175,"Morel G, et al. Differential gene retention as an evolutionary mechanism to generate biodiversity and adaptation in yeasts. Sci Rep 5: 11571 (2015).", ,
saccharomyces_jurei,saccharomyces_jurei,Saccharomyces_jurei,Saccharomycetales,Saccharomyces jurei,CBS 14759T,NA,CBS 14759,NCYC 3947,NA,11938758,18,37.9,738741,0,2124,99.39%,97.29%,2.11%,0.19%,0.42%,Yes,No,No,GCA_900290405.1,N/A,176,"Naseeb S, et al. Saccharomyces jurei sp. nov., isolation and genetic identification of a novel yeast species from Quercus robur. Int J Syst Evol Microbiol. 2017 Jun;67(6):2046-2052. doi: 10.1099/ijsem.0.002013. Epub 2017 Jun 22. PMID: 28639933; PMCID: PMC5817255.", ,
yHMPu5000037918_alloascoidea_africana_180604,yHMPu5000037918,Alloascoidea_africana,Alloascoideales,Alloascoidea africana,NRRL Y-6762-3,NRRL Y-6762-3,CBS 12606,NA,NA,23710339,465,42.47,294430,7.3,2024,94.71%,80.02%,14.69%,2.71%,2.57%,Yes,No,Yes,JAKTTT000000000,SRR16988675,,New Y1000+, ,
yHMPu5000026117_alloascoidea_hylecoeti_180604,yHMPu5000026117,Alloascoidea_hylecoeti_NRRL_Y-17703,Alloascoideales,Alloascoidea hylecoeti,NRRL Y-17703,NRRL Y-17634,CBS 355.80,NA,NA,23939367,3043,31.59,15598,12.53,1928,90.22%,81.42%,8.80%,4.40%,5.38%,Yes,Yes,Yes,JANIWP000000000,SRR16974374,,New Y1000+, ,
yHMPu5000037244_Allodekkera_sacchari_SPADES,yHMPu5000037244,Allodekkera_sacchari,Pichiales,Allodekkera sacchari,CBS 14167,NA,CBS 14167,NA,NA,13281084,209,43.24,138331,4.83,2086,97.61%,97.43%,0.19%,0.70%,1.68%,Yes,Yes,Yes,JAJMBG000000000,SRR16988769,,New Y1000+, ,
yHMPu5000034942_ambrosiozyma_angophorae_160519,yHMPu5000034942,Ambrosiozyma_angophorae,Pichiales,Ambrosiozyma angophorae,NRRL Y-7118,NRRL Y-7118,CBS 5823,NA,NA,12054867,222,31.69,269477,279.54,2067,96.72%,96.16%,0.56%,0.42%,2.85%,Yes,No,Yes,JAJLSH000000000,SRR16974435,,New Y1000+, ,
yHMPu5000026280_Ambrosiozyma_cicatricosa_S52_SPADES,yHMPu5000026280,Ambrosiozyma_cicatricosa,Pichiales,Ambrosiozyma cicatricosa,NRRL Y-17594,NRRL Y-17594,CBS 6167,NA,NA,23268870,1748,37.74,36430,2.02,2081,97.38%,96.77%,0.61%,0.98%,1.64%,Yes,No,Yes,JAKTRY000000000,SRR16974258,,New Y1000+, ,
yHMPu5000037920_ambrosiozyma_kamigamensis_190924.haplomerger2,yHMPu5000037920,Ambrosiozyma_kamigamensis,Pichiales,Ambrosiozyma kamigamensis,NRRL Y-63629,NRRL Y-63629,CBS 10899,NA,NA,19180461,1476,28.57,59429,6.26,2088,97.71%,96.82%,0.89%,0.84%,1.45%,Yes,No,Yes,JAJLZM000000000,SRR16988674,,New Y1000+, ,
yHMPu5000035039_ambrosiozyma_llanquihuensis_160519.haplomerger2,yHMPu5000035039,Ambrosiozyma_llanquihuensis,Pichiales,Ambrosiozyma llanquihuensis,NRRL Y-17657,NRRL Y-17657,CBS 8182,NA,NA,13544540,551,38.04,103886,0,2062,96.49%,96.21%,0.28%,1.68%,1.82%,Yes,No,Yes,JAJMFV000000000,SRR16974649,,New Y1000+, ,
yHMPu5000034949_ambrosiozyma_neoplatypodis_170713.haplomerger2,yHMPu5000034949,Ambrosiozyma_neoplatypodis,Pichiales,Ambrosiozyma neoplatypodis,NRRL Y-63630,NRRL Y-63630,CBS 10900,NA,NA,18833552,1763,27.69,52344,4.78,2086,97.61%,96.72%,0.89%,0.80%,1.59%,Yes,No,Yes,JAJLSG000000000,SRR16974431,,New Y1000+, ,
yHMPu5000034948_Ambrosiozyma_platypodis_SPADES,yHMPu5000034948,Ambrosiozyma_platypodis,Pichiales,Ambrosiozyma platypodis,NRRL Y-6732,NRRL Y-6732,CBS 4111,NA,NA,17245387,333,35.02,209730,4.77,2101,98.32%,97.57%,0.75%,0.66%,1.03%,Yes,No,Yes,JAKTPC000000000,SRR16974432,,New Y1000+, ,
yHMPu5000037923_ascoidea_tarda_180604,yHMPu5000037923,Ascoidea_tarda,Ascoideales,Ascoidea tarda,NRRL Y-2393,NRRL Y-2393,CBS 12609,NA,NA,17237058,1314,32.39,25868,6.91,1989,93.07%,91.34%,1.73%,2.95%,3.98%,Yes,No,Yes,JAKTTS000000000,SRR16988670,,New Y1000+, ,
yHMPu5000038398_barnettozyma_siamensis_170713,yHMPu5000038398,Barnettozyma_siamensis,Phaffomycetales,Barnettozyma siamensis,CBS 13392,NA,CBS 13392,NA,NA,11174033,167,37.83,233170,4.06,2103,98.41%,98.27%,0.14%,0.61%,0.98%,Yes,No,Yes,JAKTZZ000000000,SRR16988968,,New Y1000+, ,
yHDO593_barnettozyma_sp_180604,yHDO593,Barnettozyma_sp._yHDO593,Phaffomycetales,Barnettozyma sp.,yHDO593,NA,NA,UFMG-CM-Y5996,yHDO593,10665406,267,43.83,679471,1.44,2101,98.32%,97.99%,0.33%,0.61%,1.08%,Novel sp.,No,Yes,JAKTSX000000000,SRR16974505,,New Y1000+, ,
